,precision,recall,f1-score,support
asphodelus,1.0,1.0,1.0,3.0
calicotome,1.0,1.0,1.0,30.0
erica,1.0,1.0,1.0,18.0
eucalyptus,1.0,1.0,1.0,15.0
ferula,1.0,1.0,1.0,1.0
myrtus,1.0,1.0,1.0,78.0
olea,1.0,1.0,1.0,2.0
origanum,1.0,1.0,1.0,8.0
oxalis,1.0,1.0,1.0,13.0
pinus,1.0,1.0,1.0,3.0
pistacia,1.0,1.0,1.0,1.0
salvia,0.8888888888888888,1.0,0.9411764705882353,8.0
satureja,1.0,1.0,1.0,4.0
thymbra,1.0,0.875,0.9333333333333333,8.0
vitis,1.0,1.0,1.0,1.0
accuracy,0.9948186528497409,0.9948186528497409,0.9948186528497409,0.9948186528497409
macro avg,0.9925925925925926,0.9916666666666667,0.9916339869281046,193.0
weighted avg,0.9953943580886586,0.9948186528497409,0.9947983338413086,193.0
